Avalanche/Landslide,Cold/Wind Chill,Drought,Dust Storm,Flood,Fog/Smoke,Frost/Freeze,Funnel Cloud/Tornado,Hail/Ice,Heat,High Wave/Tsunami,Hurricane/Typhoon,Lightning,Rain,Snow/Blizzard,Thunderstorm Wind,Wildfire,Wind,Winter Storm/Weather,YEAR
20000,15012400,135400000,58300,2156455000,1045000,8000000,719599550,699278690,0,440000,1403162000,34402750,48058000,174237700,406595450,73900000,112401810,37867500,1996
0,3094000,24000000,311000,6716428600,1729000,1015000,730826250,368200970,20500,5000,667640000,40227800,9122500,475584205,191437810,33075000,40688500,47352600,1997
125500,645000,40000000,243300,2442154449,2384500,0,1716176900,1790520890,0,40000,3546554000,37987300,45313900,45223850,1421690639,398502000,63292000,39329700,1998
65000,1500000,55000,600000,1420867269,913000,200000,1990124450,467164140,3300000,1390000,4190107000,32456860,30285000,16112000,313132360,141010500,86672520,23874950,1999
755000,610000,688000,199000,1255576949,1816000,0,423750000,1391443169,0,462500,8121000,40079410,4395000,70164000,245201070,2109242200,48858940,20042600,2000
44000,0,0,183000,1237203999,1283000,0,630086900,2378373440,0,622500,5187777999,43602800,22057500,73531000,318898159,45172799,66801570,20599000,2001
31500,303000,0,440300,655601200,3975000,0,801261200,1026127940,0,77000,942111010,43537600,829000,11307400,290159500,200827000,83007900,41007700,2002
15000,860000,645150000,414000,2548810788,1675000,0,1265650770,775563470,0,8180000,1886807299,25728750,8374000,126593080,355886320,2331612330,166740120,103233000,2003
90000,650000,0,88800,1733420249,1590000,0,536589450,509241380,0,305000,18904654999,26006000,3619000,25839600,166653400,16932700,3312783160,111449000,2004
200000,100000,77414000,100800,1629616379,642000,0,421848500,626518730,3000000,1425000,93065303600,52434100,264197500,34995250,398724100,40654500,58509150,112848000,2005
110000,0,138005000,727000,3280164070,745000,0,702298000,1381618000,180000,9608000,2360200,63758280,52383010,177549750,407825780,189407000,194788600,469117200,2006
51154500,653000,3425000,950000,1833012460,545000,2390000,1348901650,1938567250,0,7568000,42796000,82056300,78570030,17189500,238071450,1370093700,257414320,83807500,2007
3554000,0,100000,60530,3406742310,6635000,40000,1845633040,568473860,50000,10782000,17544715250,60111660,7150500,33860500,1261237580,236589100,1222651989,898031200,2008
49886000,0,50000,986500,1325817629,2755000,85000,565874100,2610961250,4060000,112909999,1067000,43857350,5651000,91803500,1397967250,110824600,199495950,249252000,2009
17599800,25359000,500000,201100,3935463938,1269000,3225000,1136921450,3433847750,3930000,51264500,15288200,71138700,5087000,211977800,214366000,244889670,60150740,121329300,2010
22066000,9105000,810140000,881000,8019956650,677000,10340000,9689280799,486537650,9894200,57816000,583160200,45373920,11876000,76279300,375841960,667217400,180645910,56599800,2011
1343750,15900000,239832950,1799100,21548157600,6514000,0,1648698500,2415807760,760000,120221000,727733500,47891360,2859000,49595000,312103860,1460087300,4061688130,128455500,2012
0,90000,15090000,2335500,2203832530,3060000,159865000,3642169750,1335475470,2075000,10000000,10108000,23897200,3808500,64131000,626920950,355809300,65452850,280855500,2013
324500,6853000,10115000,852500,2692611189,3337000,1000000,622070000,1447292250,0,40228000,4985000,30214650,2269000,24795500,232543630,323811460,37448100,30837010,2014
0,1468000,86000,63700,2536594969,165000,1370000,317881099,645989620,0,95000,42964000,16313220,11381100,436600500,251978669,22897000,65472710,93551800,2015
1000,0,240000,1337000,9723410839,70000,0,165527000,3203038030,0,515000,1032000,19844210,1369000,8157000,131300390,132872000,50513050,5244000,2016
